Question,main,A,B,C,D,E,F,G,Answer
Question #202 Topic 1 ,"After attending a CEH security seminar, you make a list of changes you would like to perform on your network to increase its security. One of the first things you change is to switch the RestrictAnonymous setting from 0 to 1 on your servers. This, as you were told, would prevent anonymous users from establishing a null session on the server. Using Userinfo tool mentioned at the seminar, you succeed in establishing a null session with one of the servers. Why is that?","RestrictAnonymous must be set to ""10"" for complete security ","RestrictAnonymous must be set to ""3"" for complete security ","RestrictAnonymous must be set to ""2"" for complete security ",There is no way to always prevent an anonymous null session from establishing ,,,,"RestrictAnonymous must be set to ""2"" for complete security "
Question #203 Topic 1 ,"In a virtual test environment, Michael is testing the strength and security of BGP using multiple routers to mimic the backbone of the Internet. This project will help him write his doctoral thesis on ""bringing down the Internet"". Without sniffing the traffic between the routers, Michael sends millions of RESET packets to the routers in an attempt to shut one or all of them down. After a few hours, one of the routers finally shuts itself down. What will the other routers communicate between themselves?",The change in the routing fabric to bypass the affected router ,More RESET packets to the affected router to get it to power back up ,RESTART packets to the affected router to get it to power back up ,STOP packets to all other routers warning of where the attack originated ,,,,The change in the routing fabric to bypass the affected router 
Question #204 Topic 1 ,How many possible sequence number combinations are there in TCP/IP protocol?,1 billion ,320 billion ,4 billion ,32 million ,,,,4 billion 
Question #205 Topic 1 ,"Tyler is setting up a wireless network for his business that he runs out of his home. He has followed all the directions from the ISP as well as the wireless router manual. He does not have any encryption set and the SSID is being broadcast. On his laptop, he can pick up the wireless signal for short periods of time, but then the connection drops and the signal goes away.
Eventually the wireless signal shows back up, but drops intermittently. What could be Tyler issue with his home wireless network?",Computers on his wired network ,Satellite television ,2.4Ghz Cordless phones ,CB radio ,,,,2.4Ghz Cordless phones 
Question #206 Topic 1 ,"If a PDA is seized in an investigation while the device is turned on, what would be the proper procedure?",Keep the device powered on ,Turn off the device immediately ,Remove the battery immediately ,Remove any memory cards immediately ,,,,Keep the device powered on 
Question #207 Topic 1 ,What hashing method is used to password protect Blackberry devices?,AES ,RC5 ,MD5 ,SHA-1 ,,,,SHA-1 
Question #208 Topic 1 ,What layer of the OSI model do TCP and UDP utilize?,Data Link ,Network ,Transport ,Session ,,,,Transport 
Question #209 Topic 1 ,"When making the preliminary investigations in a sexual harassment case, how many investigators are you recommended having?",One ,Two ,Three ,Four ,,,,Two 
Question #210 Topic 1 ,What type of equipment would a forensics investigator store in a StrongHold bag?,PDAPDA? ,Backup tapes ,Hard drives ,Wireless cards ,,,,Wireless cards 
Question #211 Topic 1 ,"If you are concerned about a high level of compression but not concerned about any possible data loss, what type of compression would you use?",Lossful compression ,Lossy compression ,Lossless compression ,Time-loss compression ,,,,Lossy compression 
Question #212 Topic 1 ,Which of the following does Microsoft Exchange E-mail Server use for collaboration of various e-mail applications?,Simple Mail Transfer Protocol (SMTP) ,Messaging Application Programming Interface (MAPI) ,Internet Message Access Protocol (IMAP) ,Post Office Protocol version 3 (POP3) ,,,,Messaging Application Programming Interface (MAPI) 
Question #213 Topic 1 ,"An investigator is searching through the firewall logs of a company and notices ICMP packets that are larger than 65,536 bytes. What type of activity is the investigator seeing?",Smurf ,Ping of death ,Fraggle ,Nmap scan ,,,,Ping of death 
Question #214 Topic 1 ,"When carrying out a forensics investigation, why should you never delete a partition on a dynamic disk?",All virtual memory will be deleted ,The wrong partition may be set to active ,This action can corrupt the disk ,The computer will be set in a constant reboot state ,,,,This action can corrupt the disk 
Question #215 Topic 1 ,"When using an iPod and the host computer is running Windows, what file system will be used?",iPod+ ,HFS ,FAT16 ,FAT32 ,,,,FAT32 
Question #216 Topic 1 ,What is one method of bypassing a system BIOS password?,Removing the processor ,Removing the CMOS battery ,Remove all the system memory ,Login to Windows and disable the BIOS password ,,,,Removing the CMOS battery 
Question #217 Topic 1 ,What technique used by Encase makes it virtually impossible to tamper with evidence once it has been acquired?,Every byte of the file(s) is given an MD5 hash to match against a master file ,Every byte of the file(s) is verified using 32-bit CRC ,Every byte of the file(s) is copied to three different hard drives ,Every byte of the file(s) is encrypted using three different methods ,,,,Every byte of the file(s) is verified using 32-bit CRC 
Question #218 Topic 1 ,What must an investigator do before disconnecting an iPod from any type of computer?,Unmount the iPod ,Mount the iPod ,Disjoin the iPod ,Join the iPod ,,,,Unmount the iPod 
